"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"423032_ida","-23.74","-46.59842","127","2648"
"423032_ida","-23.73993","-46.59838","128","2657"
"423032_ida","-23.7398","-46.59834","129","2672"
"423032_ida","-23.73973","-46.59831","130","2680"
"423032_ida","-23.7397","-46.59829","131","2684"
"423032_ida","-23.73966","-46.59827","132","2689"
"423032_ida","-23.73961","-46.59824","133","2696"
"423032_ida","-23.73956","-46.59821","134","2702"
"423032_ida","-23.73951","-46.59816","135","2709"
"423032_ida","-23.73948","-46.59814","136","2713"
"423032_ida","-23.73946","-46.5981","137","2718"
"423032_ida","-23.73944","-46.59807","138","2721"
"423032_ida","-23.73942","-46.59803","139","2726"
"423032_ida","-23.73939","-46.59797","140","2733"
"423032_ida","-23.73938","-46.59795","141","2735"
"423032_ida","-23.73938","-46.59791","142","2739"
"423032_ida","-23.73939","-46.59786","143","2744"
"423032_ida","-23.7394","-46.59778","144","2753"
"423032_ida","-23.73942","-46.5977","145","2761"
"423032_ida","-23.73956","-46.59724","146","2810"
"423032_ida","-23.73958","-46.59711","147","2824"
"423032_ida","-23.73959","-46.59698","148","2837"
"423032_ida","-23.73959","-46.5969","149","2845"
"423032_ida","-23.73958","-46.59683","150","2853"
"423032_ida","-23.73957","-46.59668","151","2868"
"423032_ida","-23.73956","-46.59656","152","2880"
"423032_ida","-23.73955","-46.59645","153","2892"
"423032_ida","-23.73954","-46.59634","154","2903"
"423032_ida","-23.73952","-46.59624","155","2913"
"423032_ida","-23.73951","-46.59611","156","2927"
"423032_ida","-23.73947","-46.59599","157","2940"
"423032_ida","-23.73946","-46.59593","158","2946"
"423032_ida","-23.7394","-46.59583","159","2958"
"423032_ida","-23.73933","-46.59544","160","2998"
"423032_ida","-23.73928","-46.59506","161","3038"
"423032_ida","-23.73925","-46.59468","162","3076"
"423032_ida","-23.73923","-46.59444","163","3101"
"423032_ida","-23.73921","-46.59421","164","3125"
"423032_ida","-23.7392","-46.59403","165","3143"
"423032_ida","-23.73919","-46.59394","166","3152"
"423032_ida","-23.73919","-46.59385","167","3161"
"423032_ida","-23.7392","-46.59373","168","3174"
"423032_ida","-23.73922","-46.59361","169","3186"
"423032_ida","-23.73924","-46.59349","170","3198"
"423032_ida","-23.73927","-46.59336","171","3212"
"423032_ida","-23.73932","-46.59317","172","3232"
"423032_ida","-23.73935","-46.59309","173","3241"
"423032_ida","-23.73939","-46.59288","174","3263"
"423032_ida","-23.7394","-46.59285","175","3266"
"423032_ida","-23.73942","-46.59281","176","3271"
"423032_ida","-23.73943","-46.59277","177","3275"
"423032_ida","-23.73945","-46.59267","178","3286"
"423032_ida","-23.73945","-46.59257","179","3296"
"423032_ida","-23.73945","-46.59246","180","3307"
"423032_ida","-23.73945","-46.59242","181","3311"
"423032_ida","-23.73944","-46.59238","182","3316"
"423032_ida","-23.73941","-46.59231","183","3323"
"423032_ida","-23.73938","-46.59225","184","3331"
"423032_ida","-23.73935","-46.59222","185","3335"
"423032_ida","-23.73931","-46.59219","186","3341"
"423032_ida","-23.73928","-46.59219","187","3344"
"423032_ida","-23.73926","-46.59217","188","3347"
"423032_ida","-23.73917","-46.5921","189","3359"
"423032_ida","-23.73888","-46.59192","190","3396"
"423032_ida","-23.73849","-46.59169","191","3445"
"423032_ida","-23.73811","-46.59145","192","3494"
"423032_ida","-23.73783","-46.59132","193","3528"
"423032_ida","-23.73756","-46.59121","194","3560"
"423032_ida","-23.737","-46.59104","195","3624"
"423032_ida","-23.73675","-46.59097","196","3653"
"423032_ida","-23.73663","-46.59092","197","3667"
"423032_ida","-23.73653","-46.59085","198","3680"
"423032_ida","-23.73642","-46.59075","199","3696"
"423032_ida","-23.73636","-46.59069","200","3705"
"423032_ida","-23.73632","-46.59063","201","3712"
"423032_ida","-23.73627","-46.59055","202","3722"
"423032_ida","-23.73623","-46.59046","203","3732"
"423032_ida","-23.73617","-46.59034","204","3746"
"423032_ida","-23.73613","-46.59022","205","3759"
"423032_ida","-23.73603","-46.58996","206","3788"
"423032_ida","-23.73594","-46.5897","207","3816"
"423032_ida","-23.73589","-46.58954","208","3833"
"423032_ida","-23.73585","-46.58939","209","3849"
"423032_ida","-23.73573","-46.58848","210","3943"
"423032_ida","-23.73563","-46.58774","211","4019"
"423032_ida","-23.73553","-46.58721","212","4074"
"423032_ida","-23.73547","-46.58699","213","4098"
"423032_ida","-23.7354","-46.58678","214","4121"
"423032_ida","-23.73531","-46.58654","215","4147"
"423032_ida","-23.73521","-46.58631","216","4173"
"423032_ida","-23.73504","-46.58595","217","4214"
"423032_ida","-23.73489","-46.58559","218","4254"
"423032_ida","-23.73486","-46.5855","219","4264"
"423032_ida","-23.73484","-46.5854","220","4274"
"423032_ida","-23.73483","-46.5853","221","4285"
"423032_ida","-23.73484","-46.5852","222","4295"
"423032_ida","-23.73485","-46.58504","223","4311"
"423032_ida","-23.73489","-46.58489","224","4327"
"423032_ida","-23.73493","-46.58478","225","4339"
"423032_ida","-23.73498","-46.58468","226","4350"
"423032_ida","-23.7352","-46.58423","227","4403"
"423032_ida","-23.73525","-46.58402","228","4425"
"423032_ida","-23.73529","-46.58372","229","4456"
"423032_ida","-23.73531","-46.58343","230","4485"
"423032_ida","-23.73541","-46.58279","231","4552"
"423032_ida","-23.73544","-46.58243","232","4588"
"423032_ida","-23.73547","-46.58208","233","4624"
"423032_ida","-23.73556","-46.5818","234","4654"
"423032_ida","-23.73562","-46.58168","235","4668"
"423032_ida","-23.73563","-46.58158","236","4679"
"423032_ida","-23.73563","-46.58149","237","4688"
"423032_ida","-23.73562","-46.58144","238","4694"
"423032_ida","-23.73559","-46.5814","239","4699"
"423032_ida","-23.73557","-46.58135","240","4704"
"423032_ida","-23.73555","-46.58119","241","4721"
"423032_ida","-23.73553","-46.58107","242","4733"
"423032_ida","-23.73556","-46.58076","243","4765"
"423032_ida","-23.73557","-46.58057","244","4784"
"423032_ida","-23.73557","-46.58039","245","4802"
"423032_ida","-23.73555","-46.58025","246","4817"
"423032_ida","-23.73552","-46.58012","247","4831"
"423032_ida","-23.73548","-46.57999","248","4845"
"423032_ida","-23.73544","-46.57991","249","4854"
"423032_ida","-23.73538","-46.57983","250","4865"
"423032_ida","-23.7353","-46.57978","251","4876"
"423032_ida","-23.73521","-46.57973","252","4887"
"423032_ida","-23.73509","-46.57968","253","4901"
"423032_ida","-23.73456","-46.57953","254","4962"
"423032_ida","-23.73429","-46.57944","255","4993"
"423032_ida","-23.73403","-46.57936","256","5023"
"423032_ida","-23.73238","-46.57883","257","5214"
"423032_ida","-23.73149","-46.57855","258","5316"
"423032_ida","-23.73089","-46.57836","259","5385"
"423032_ida","-23.73002","-46.5781","260","5485"
"423032_ida","-23.72965","-46.57804","261","5527"
"423032_ida","-23.72934","-46.57799","262","5562"
"423032_ida","-23.72903","-46.57794","263","5596"
"423032_ida","-23.72893","-46.57791","264","5608"
"423032_ida","-23.72884","-46.57787","265","5618"
"423032_ida","-23.72873","-46.57779","266","5633"
"423032_ida","-23.72862","-46.57769","267","5648"
"423032_ida","-23.72853","-46.5776","268","5662"
"423032_ida","-23.72841","-46.57743","269","5684"
"423032_ida","-23.72829","-46.57723","270","5708"
"423032_ida","-23.7282","-46.57704","271","5730"
"423032_ida","-23.72813","-46.57686","272","5749"
"423032_ida","-23.72809","-46.57671","273","5765"
"423032_ida","-23.72807","-46.57659","274","5778"
"423032_ida","-23.72806","-46.57653","275","5784"
"423032_ida","-23.72806","-46.57647","276","5790"
"423032_ida","-23.72809","-46.57617","277","5820"
"423032_ida","-23.72813","-46.57591","278","5847"
"423032_ida","-23.72814","-46.57574","279","5865"
"423032_ida","-23.72808","-46.57549","280","5892"
"423032_ida","-23.72798","-46.5753","281","5915"
"423032_ida","-23.72792","-46.57527","282","5922"
"423032_ida","-23.72784","-46.57519","283","5934"
"423032_ida","-23.72779","-46.57513","284","5942"
"423032_ida","-23.7277","-46.57507","285","5954"
"423032_ida","-23.72754","-46.575","286","5973"
"423032_ida","-23.72699","-46.57484","287","6036"
"423032_ida","-23.72683","-46.57481","288","6054"
"423032_ida","-23.72668","-46.57479","289","6071"
"423032_ida","-23.72637","-46.57478","290","6105"
"423032_ida","-23.72633","-46.57477","291","6109"
"423032_ida","-23.72629","-46.57474","292","6115"
"423032_ida","-23.72608","-46.5747","293","6139"
"423032_ida","-23.72588","-46.57465","294","6162"
"423032_ida","-23.72569","-46.57461","295","6183"
"423032_ida","-23.72557","-46.57459","296","6196"
"423032_ida","-23.7255","-46.57457","297","6204"
"423032_ida","-23.72542","-46.57453","298","6214"
"423032_ida","-23.72535","-46.57448","299","6223"
"423032_ida","-23.72528","-46.5744","300","6234"
"423032_ida","-23.72524","-46.57432","301","6243"
"423032_ida","-23.72518","-46.57415","302","6262"
"423032_ida","-23.7251","-46.57399","303","6280"
"423032_ida","-23.725","-46.57384","304","6300"
"423032_ida","-23.72486","-46.57373","305","6319"
"423032_ida","-23.7247","-46.57366","306","6338"
"423032_ida","-23.72458","-46.57363","307","6352"
"423032_ida","-23.72439","-46.57363","308","6374"
"423032_ida","-23.72422","-46.57366","309","6393"
"423032_ida","-23.72411","-46.57369","310","6405"
"423032_ida","-23.72395","-46.57375","311","6425"
"423032_ida","-23.72383","-46.57394","312","6448"
"423032_ida","-23.72375","-46.5741","313","6467"
"423032_ida","-23.72369","-46.57427","314","6486"
"423032_ida","-23.72366","-46.57444","315","6504"
"423032_ida","-23.72366","-46.57465","316","6526"
"423032_ida","-23.72371","-46.57484","317","6546"
"423032_ida","-23.7238","-46.575","318","6566"
"423032_ida","-23.72393","-46.57515","319","6587"
"423032_ida","-23.72401","-46.57522","320","6598"
"423032_ida","-23.72412","-46.57537","321","6617"
"423032_ida","-23.72422","-46.57551","322","6635"
"423032_ida","-23.72425","-46.57558","323","6642"
"423032_ida","-23.72425","-46.57565","324","6649"
"423032_ida","-23.72421","-46.57614","325","6700"
"423032_ida","-23.72418","-46.57639","326","6725"
"423032_ida","-23.72416","-46.57664","327","6751"
"423032_ida","-23.72413","-46.57717","328","6805"
"423032_ida","-23.72415","-46.57756","329","6845"
"423032_ida","-23.72418","-46.57783","330","6873"
"423032_ida","-23.7242","-46.57808","331","6898"
"423032_ida","-23.72421","-46.5782","332","6911"
"423032_ida","-23.72421","-46.57832","333","6923"
